id;date;details;status;payment_method;payment_date;payment_amount
1;2022-01-28T06:22:48;RAM systemic;PAID;CASH_ON_DELIVERY;2022-01-28T10:48:43;5801
2;2022-01-28T00:36:59;Idaho calculating model;ISSUED;CREDIT_CARD;2022-01-28T02:51:56;75071
3;2022-01-27T23:22:57;program SQL;CANCELLED;CREDIT_CARD;2022-01-27T22:02:21;79944
4;2022-01-28T10:17:04;Soft Central;PAID;CASH_ON_DELIVERY;2022-01-28T07:32:45;8068
5;2022-01-28T14:23:56;Indian;CANCELLED;PAYPAL;2022-01-28T16:13:29;87472
6;2022-01-28T03:00:24;Engineer Shirt Court;CANCELLED;PAYPAL;2022-01-28T18:44:51;62834
7;2022-01-28T14:32:46;program transmitting parse;PAID;CREDIT_CARD;2022-01-28T05:33:04;38509
8;2022-01-28T05:14:22;Dynamic iterate;PAID;CREDIT_CARD;2022-01-28T01:31:10;6085
9;2022-01-27T22:08:05;black Maine;PAID;CREDIT_CARD;2022-01-28T00:50:10;11254
10;2022-01-28T11:23:26;Lead Well;CANCELLED;PAYPAL;2022-01-28T00:40:34;85804
