id;sku;upc;name;description;price;product_size;colors;image;image_content_type;image_sha_1;image_cdn_url;thumbnail_sha_1;thumbnail_cdn_url
1;Steel;Assistant;cross-platform Principal;../fake-data/blob/hipster.txt;35091;M;"ectxt,qfsmwq,bw,cylb,b";../fake-data/blob/hipster.png;image/png;;Oklahoma;;Tunnel
2;Intelligent;pixel methodical quantifying;rich South Forward;../fake-data/blob/hipster.txt;79521;S;"cj,bnuy,l,gyfyus,jfjli";../fake-data/blob/hipster.png;image/png;;Incredible IB;;CFA
3;Colombian B2C;bypassing Gateway Virtual;index Account Concrete;../fake-data/blob/hipster.txt;32973;XS;"tqeig,y,ia,pn,rca";../fake-data/blob/hipster.png;image/png;;ability;;revolutionize Orchestrator Directives
4;Guinea-Bissau SCSI;Serbia;content Cordoba;../fake-data/blob/hipster.txt;57103;XXL;"h,gpuc";../fake-data/blob/hipster.png;image/png;;Visionary Baby teal;;U.S. copying Dakota
5;user-facing benchmark 1080p;Manat relationships hacking;Florida deposit generation;../fake-data/blob/hipster.txt;26836;XL;"bdc,ug,jesqt,y,w,fpm";../fake-data/blob/hipster.png;image/png;;Bolivar methodology;;Ergonomic deposit
6;copying Ouguiya;International;bleeding-edge Chief;../fake-data/blob/hipster.txt;77961;XL;"kjgsg,xjciaw,ie,ko";../fake-data/blob/hipster.png;image/png;;Usability THX virtual;;ADP hub
7;Sleek generating PCI;magenta;Orchestrator invoice;../fake-data/blob/hipster.txt;46098;XL;"i,mkgahs,qu,bnaubb,z,uhtn";../fake-data/blob/hipster.png;image/png;;Florida Islands;;Paradigm neural-net
8;Springs;Borders indexing AGP;British;../fake-data/blob/hipster.txt;97343;M;"ljhey,gonpny,zyo,j,knnfy,yqyu";../fake-data/blob/hipster.png;image/png;;reintermediate service-desk;;coherent Niger quantify
9;Automotive;Idaho interactive Card;indexing deposit Georgia;../fake-data/blob/hipster.txt;50307;M;"tyg,jwq,l,ungui";../fake-data/blob/hipster.png;image/png;;payment Account;;Wooden Saint application
10;capacitor Greens Gorgeous;Route Corporate;TCP Papua Director;../fake-data/blob/hipster.txt;90067;XXL;"jgfrol,ydb";../fake-data/blob/hipster.png;image/png;;Robust;;yellow wireless Uruguay
