id;placed_date;status;invoice_id;code
1;2022-01-28T13:44:06;COMPLETED;11446;lavender
2;2022-01-28T17:22:06;CANCELLED;64871;e-enable one-to-one
3;2022-01-28T00:24:26;COMPLETED;91159;background out-of-the-box withdrawal
4;2022-01-27T22:37:59;COMPLETED;47588;Concrete
5;2022-01-28T03:40:25;CANCELLED;63689;Car hybrid Generic
6;2022-01-28T02:54:33;CANCELLED;37922;harness Holy United
7;2022-01-28T12:01:58;COMPLETED;15762;Visionary
8;2022-01-28T00:48:43;CANCELLED;1365;Credit Soft Cotton
9;2022-01-28T16:23:16;CANCELLED;52097;Implemented
10;2022-01-28T14:38:55;COMPLETED;61775;solution protocol
